"1009093";"2";"777098487";"FDB";"001009093"
"1009370";"2";"777098488";"FDB";"001009370"
"1009392";"2";"777098489";"FDB";"001009392"
"1009406";"2";"777098490";"FDB";"001009406"
"1009712";"2";"777098491";"FDB";"001009712"
"1009713";"2";"777098492";"FDB";"001009713"
"1009718";"2";"777098493";"FDB";"001009718"
"1009721";"2";"777098494";"FDB";"001009721"
"1009724";"2";"777098495";"FDB";"001009724"
"1008770";"2";"777098496";"FDB";"001008770"
"1008772";"2";"777098497";"FDB";"001008772"
"1008775";"2";"777098498";"FDB";"001008775"
"1008779";"2";"777098499";"FDB";"001008779"
"1008787";"2";"777098500";"FDB";"001008787"
"1009101";"2";"777098501";"FDB";"001009101"
"1009105";"2";"777098502";"FDB";"001009105"
"1009108";"2";"777098503";"FDB";"001009108"
"1009410";"2";"777098504";"FDB";"001009410"
"1009411";"2";"777098505";"FDB";"001009411"
"1009414";"2";"777098506";"FDB";"001009414"
"1009421";"2";"777098507";"FDB";"001009421"
"1009758";"2";"777098508";"FDB";"001009758"
"1009762";"2";"777098509";"FDB";"001009762"
"1009763";"2";"777098510";"FDB";"001009763"
"1008839";"2";"777098511";"FDB";"001008839"
"1008842";"2";"777098512";"FDB";"001008842"
"1008845";"2";"777098513";"FDB";"001008845"
"1008847";"2";"777098514";"FDB";"001008847"
"1009143";"2";"777098515";"FDB";"001009143"
"1009147";"2";"777098516";"FDB";"001009147"
"1009155";"2";"777098517";"FDB";"001009155"
"1009156";"2";"777098518";"FDB";"001009156"
"1009448";"2";"777098519";"FDB";"001009448"
"1009450";"2";"777098520";"FDB";"001009450"
"1009458";"2";"777098521";"FDB";"001009458"
"1009914";"2";"777098522";"FDB";"001009914"
"1009919";"2";"777098523";"FDB";"001009919"
"1009920";"2";"777098524";"FDB";"001009920"
"1009921";"2";"777098525";"FDB";"001009921"
"1009922";"2";"777098526";"FDB";"001009922"
"1009925";"2";"777098527";"FDB";"001009925"
"1009926";"2";"777098528";"FDB";"001009926"
"1009928";"2";"777098529";"FDB";"001009928"
"1008872";"2";"777098530";"FDB";"001008872"
"1009167";"2";"777098531";"FDB";"001009167"
"1009174";"2";"777098532";"FDB";"001009174"
"1009180";"2";"777098533";"FDB";"001009180"
"1009185";"2";"777098534";"FDB";"001009185"
"1009461";"2";"777098535";"FDB";"001009461"
"1009462";"2";"777098536";"FDB";"001009462"
"1009463";"2";"777098537";"FDB";"001009463"
"1009471";"2";"777098538";"FDB";"001009471"
"1009474";"2";"777098539";"FDB";"001009474"
"1009476";"2";"777098540";"FDB";"001009476"
"1009788";"2";"777098541";"FDB";"001009788"
"1009154";"2";"777098542";"FDB";"001009154"
"1009158";"2";"777098543";"FDB";"001009158"
"1009159";"2";"777098544";"FDB";"001009159"
"1009161";"2";"777098545";"FDB";"001009161"
"1009452";"2";"777098546";"FDB";"001009452"
"1009454";"2";"777098547";"FDB";"001009454"
"1009457";"2";"777098548";"FDB";"001009457"
"1009913";"2";"777098549";"FDB";"001009913"
"1009916";"2";"777098550";"FDB";"001009916"
"1009924";"2";"777098551";"FDB";"001009924"
"1009927";"2";"777098552";"FDB";"001009927"
"1008873";"2";"777098553";"FDB";"001008873"
"1008876";"2";"777098554";"FDB";"001008876"
"1008878";"2";"777098555";"FDB";"001008878"
"1008881";"2";"777098556";"FDB";"001008881"
"1009166";"2";"777098557";"FDB";"001009166"
"1009170";"2";"777098558";"FDB";"001009170"
"1009183";"2";"777098559";"FDB";"001009183"
"1009473";"2";"777098560";"FDB";"001009473"
"1009797";"2";"777098561";"FDB";"001009797"
"1008855";"2";"777098562";"FDB";"001008855"
"1008856";"2";"777098563";"FDB";"001008856"
"1008864";"2";"777098564";"FDB";"001008864"
"1009190";"2";"777098565";"FDB";"001009190"
"1009197";"2";"777098566";"FDB";"001009197"
"1009487";"2";"777098567";"FDB";"001009487"
"1009493";"2";"777098568";"FDB";"001009493"
"1009495";"2";"777098569";"FDB";"001009495"
"1009500";"2";"777098570";"FDB";"001009500"
"1009502";"2";"777098571";"FDB";"001009502"
"1009865";"2";"777098572";"FDB";"001009865"
"1009866";"2";"777098573";"FDB";"001009866"
"1008121";"2";"777098574";"FDB";"001008121"
"1008381";"2";"777098575";"FDB";"001008381"
"1008384";"2";"777098576";"FDB";"001008384"
"1008387";"2";"777098577";"FDB";"001008387"
"1000899";"2";"777091038";"FDB";"001000899"
"1000905";"2";"777091039";"FDB";"001000905"
"1000906";"2";"777091040";"FDB";"001000906"
"1000911";"2";"777091041";"FDB";"001000911"
"1000913";"2";"777091042";"FDB";"001000913"
"1000801";"2";"777091043";"FDB";"001000801"
"1000803";"2";"777091044";"FDB";"001000803"
"1000807";"2";"777091045";"FDB";"001000807"
"1000811";"2";"777091046";"FDB";"001000811"
"1000812";"2";"777091047";"FDB";"001000812"
"1000814";"2";"777091048";"FDB";"001000814"
"1000815";"2";"777091049";"FDB";"001000815"
"1000829";"2";"777091050";"FDB";"001000829"
"1000846";"2";"777091051";"FDB";"001000846"
"1000847";"2";"777091052";"FDB";"001000847"
"1000850";"2";"777091053";"FDB";"001000850"
